Creditability,Account Balance,Duration of Credit (month),Payment Status of Previous Credit,Purpose,Credit Amount,Value Savings/Stocks,Length of current employment,Instalment per cent,Sex & Marital Status,Guarantors,Duration in Current address,Most valuable available asset,Age (years),Concurrent Credits,Type of apartment,No of Credits at this Bank,Occupation,No of dependents,Telephone,Foreign Worker
1,4,4,5,6,3,1,5,3,3,1,4,4,4,3,3,2,3,1,1,1
1,2,1,3,7,1,1,4,4,2,1,4,2,5,3,2,2,4,1,2,1
1,3,4,3,3,3,1,5,3,1,1,4,4,5,3,3,1,3,1,1,1
1,2,4,4,1,3,2,5,4,3,1,3,4,2,3,3,1,3,1,1,1
0,1,1,3,1,1,1,3,4,3,1,3,3,2,3,2,1,2,1,1,1
0,2,1,5,7,1,4,5,4,3,1,3,4,3,3,3,2,3,2,1,1
0,2,4,3,2,3,3,2,3,2,1,4,3,2,3,1,1,3,1,1,1
0,2,1,3,1,4,5,1,1,3,1,2,2,1,3,2,1,1,1,2,1
0,1,2,1,1,1,1,5,4,3,1,3,3,3,3,1,2,3,2,1,1
0,1,4,5,1,1,1,5,4,3,1,4,3,5,3,2,2,2,1,1,1
0,1,2,1,1,1,1,3,4,3,1,4,3,4,1,2,2,3,1,1,1
0,2,4,3,1,2,1,3,4,2,3,2,4,1,1,2,1,3,1,1,1
0,2,4,5,1,3,1,2,4,1,1,4,3,2,3,2,2,3,1,1,1
0,2,5,3,4,3,1,4,4,3,1,4,1,2,3,2,2,3,1,1,1
0,1,3,3,4,2,1,3,4,3,1,4,4,5,3,3,2,3,1,1,1
0,4,4,1,1,3,5,3,1,2,1,4,2,2,1,2,2,3,1,2,1
0,2,5,3,7,3,1,3,4,3,1,4,4,4,3,3,1,3,1,1,1
0,4,4,4,1,2,1,5,4,3,1,4,3,4,3,2,2,2,2,1,1
0,4,1,3,4,1,1,4,4,3,1,2,3,1,3,2,1,3,1,1,1
0,2,4,5,4,3,1,4,2,3,3,2,1,1,3,2,2,3,1,1,1
0,4,3,5,1,1,1,3,3,3,1,2,2,3,1,2,2,3,1,1,1
0,2,1,2,1,1,2,4,2,3,1,3,4,2,3,2,1,3,1,1,1
0,1,2,3,5,1,5,3,4,2,1,2,3,1,3,1,1,3,1,1,1
0,1,4,3,4,1,1,1,4,3,1,2,3,2,2,2,1,4,2,1,1
0,1,1,3,1,1,1,2,3,3,1,2,4,2,3,3,1,4,1,2,1
0,1,3,3,5,1,1,3,4,4,1,3,1,4,3,2,1,2,1,2,1
0,1,4,3,1,4,1,4,2,3,1,1,3,1,3,2,1,3,1,2,1
0,1,4,4,10,2,1,4,2,3,1,1,3,1,3,2,2,3,1,2,1
0,1,4,3,1,1,1,2,4,2,1,4,3,3,3,2,1,3,1,2,1
0,2,3,4,3,3,1,5,4,1,1,3,4,3,3,2,1,4,1,2,1
0,1,1,5,3,3,1,3,1,1,1,4,1,4,3,1,1,4,1,2,1
0,2,3,5,4,1,1,3,4,4,1,2,3,3,3,2,1,3,1,1,1
0,4,2,3,7,3,2,3,3,3,1,2,2,3,3,2,1,4,1,2,1
0,2,4,5,3,4,1,4,2,3,1,2,2,4,3,2,1,3,1,1,1
0,1,4,4,4,1,1,2,4,4,1,4,1,4,2,2,1,3,1,1,1
0,2,4,3,1,4,1,5,4,3,1,2,4,5,3,3,1,4,1,2,1
0,2,1,2,7,1,4,2,4,2,1,2,2,1,1,1,1,3,2,1,1
0,1,2,2,4,2,1,3,4,1,1,1,4,2,3,3,1,3,1,1,1
0,4,4,3,4,2,3,5,3,3,1,2,3,3,1,2,2,3,1,2,1
0,2,1,2,1,1,2,2,1,2,1,1,2,3,2,2,1,2,1,1,1
0,2,2,4,6,1,4,3,3,4,1,3,2,5,2,2,2,3,1,1,1
0,2,4,1,10,3,1,3,1,3,1,4,1,3,3,2,3,2,1,2,1
0,2,4,5,3,3,1,2,2,2,1,4,3,1,1,2,1,2,1,1,1
0,2,2,1,1,1,1,2,2,2,1,1,1,2,3,1,2,1,1,1,1
0,3,2,3,4,2,1,2,2,2,1,3,1,1,3,2,1,2,1,1,1
0,1,4,2,3,3,1,2,2,1,1,1,2,5,1,2,1,3,1,2,1
0,1,2,3,7,1,1,2,4,2,1,4,2,5,3,2,1,3,1,1,1
0,3,4,4,10,1,1,5,4,3,1,4,1,5,3,2,1,4,1,2,1
0,2,4,1,10,1,1,5,4,3,1,4,4,5,3,3,1,4,1,2,1
0,3,3,3,3,3,1,3,2,3,1,1,1,3,3,2,1,2,2,1,1
0,3,4,5,7,2,1,2,2,1,1,1,3,3,3,1,1,3,1,1,1
0,1,4,3,1,1,5,5,4,2,1,2,3,2,1,2,1,3,1,1,1
0,3,4,3,1,1,1,4,4,3,1,3,4,3,1,3,1,3,2,1,1
0,1,4,3,1,1,5,3,4,2,1,2,2,3,3,2,1,3,1,1,1
0,1,4,3,1,1,5,4,4,2,1,4,4,3,3,1,1,3,1,1,1
0,1,4,3,1,1,5,3,4,2,1,4,1,1,3,1,1,3,1,1,1
0,2,3,3,1,1,5,3,4,2,1,2,2,3,3,2,1,3,1,1,1
0,1,2,3,1,1,5,3,4,4,1,2,3,1,3,2,1,3,1,1,1
0,1,4,3,1,1,1,2,4,2,1,4,2,1,3,1,1,3,1,1,1
0,2,3,1,1,2,2,2,3,2,1,3,3,2,3,2,2,3,1,1,1
0,1,5,4,10,3,1,5,3,3,1,4,4,5,3,2,2,3,1,2,1
0,1,4,3,3,3,1,5,4,3,1,2,2,3,3,1,1,4,1,2,1
0,1,1,2,7,1,1,5,4,2,1,4,4,3,3,3,1,3,1,1,1
0,2,5,3,10,4,1,3,2,3,1,2,3,1,3,2,1,3,1,2,1
0,1,5,3,10,3,1,5,4,3,2,4,4,3,3,1,1,3,1,1,1
0,4,3,3,6,1,1,2,4,2,1,4,1,1,3,2,1,3,1,1,1
0,1,3,3,4,3,1,3,2,2,1,2,1,1,3,2,1,3,1,1,1
0,2,1,2,2,3,1,5,2,2,1,4,4,5,1,3,1,4,2,2,1
0,4,3,4,3,1,1,4,4,2,1,1,1,1,3,2,1,3,1,1,1
0,3,1,3,1,1,2,5,1,2,1,4,4,4,3,3,1,2,2,1,1
0,1,2,3,1,1,1,4,4,3,1,2,1,2,3,2,1,3,1,1,1
0,2,1,3,3,1,1,3,3,2,1,4,1,1,3,2,1,3,1,1,1
0,4,1,3,3,1,1,2,2,2,2,2,3,1,3,1,2,3,1,1,1
0,2,5,3,4,4,4,4,1,3,2,2,4,2,1,2,2,3,1,2,1
0,1,4,4,7,3,1,3,4,3,1,3,2,2,2,2,1,3,1,2,1
0,1,4,3,4,1,1,2,4,1,1,3,2,3,3,2,1,3,1,1,1
0,1,4,3,4,1,1,3,3,2,1,2,1,1,3,2,2,3,1,2,1
0,1,4,4,4,1,1,2,4,2,1,2,3,2,3,1,1,2,1,2,1
0,2,1,4,1,1,1,1,4,3,1,4,2,4,3,2,1,4,1,2,1
0,2,5,1,10,3,2,4,4,3,1,4,4,3,3,3,1,2,2,1,1
0,1,2,5,1,3,1,5,3,3,2,4,2,4,3,1,2,3,1,2,1
0,2,2,3,6,1,1,3,4,3,1,2,3,2,3,2,1,3,1,1,1
0,2,5,3,4,3,1,3,2,2,1,2,1,1,3,2,1,3,1,1,1
0,2,4,1,4,3,1,3,4,2,1,1,3,4,3,2,1,3,1,2,1
0,4,4,4,4,3,1,3,4,3,1,2,3,2,3,2,2,4,1,2,1
0,4,4,4,10,4,5,2,4,3,1,4,3,2,3,1,2,3,1,2,1
0,3,4,3,4,3,1,3,4,3,1,2,3,2,3,2,1,3,1,1,1
0,4,1,3,3,3,1,2,1,2,1,4,2,3,3,2,1,3,1,1,1
0,2,4,3,2,4,1,3,1,2,1,4,3,1,3,1,2,4,1,1,1
0,4,3,1,10,3,1,3,2,3,1,2,3,3,2,2,2,3,2,1,1
0,2,4,3,3,3,1,4,3,1,1,3,3,4,3,2,1,3,1,2,1
0,4,3,2,1,3,1,5,2,3,1,4,4,3,1,2,2,4,2,2,1
0,4,2,3,1,1,3,3,2,2,1,2,2,2,3,2,1,3,1,1,1
0,1,4,3,7,1,5,5,4,3,1,4,4,3,3,2,1,4,1,2,1
0,2,3,5,3,1,1,2,2,3,1,2,1,3,3,2,2,2,1,1,1
0,4,2,3,3,1,3,3,4,2,1,4,3,2,3,1,1,2,1,1,1
0,2,4,3,11,4,1,3,2,3,2,3,3,2,1,2,2,4,1,2,1
0,2,4,5,11,4,1,3,2,3,2,3,3,3,3,2,2,4,2,2,1
0,2,4,5,4,2,3,3,4,3,1,2,2,1,3,2,2,2,1,1,1
0,2,4,4,4,1,2,2,4,3,1,3,4,2,2,2,2,4,1,1,1
0,2,5,2,11,4,2,5,3,2,1,4,4,5,1,3,2,4,1,2,1
0,2,4,3,4,2,2,3,4,2,2,4,4,4,3,3,1,3,1,1,1
0,2,4,3,7,4,2,3,1,3,1,4,4,4,3,3,1,3,2,2,1
0,2,5,3,4,3,2,3,4,3,3,4,2,1,3,1,1,3,1,1,1
0,1,2,2,4,1,1,3,4,2,1,4,1,1,1,2,1,2,1,1,1
0,2,4,5,10,1,1,5,4,1,1,4,1,3,3,2,2,3,1,2,1
0,3,4,5,1,1,5,4,4,3,1,2,1,3,1,2,2,2,2,1,1
0,4,3,3,3,1,1,2,4,4,2,1,2,4,3,2,1,2,2,1,1
0,1,5,3,1,3,1,4,4,3,1,4,4,4,3,3,1,3,2,1,1
0,1,4,2,3,3,3,2,4,3,1,4,4,2,3,3,1,3,2,2,1
0,1,4,3,4,2,1,3,4,1,1,4,3,3,3,1,1,3,1,1,1
0,1,5,3,4,3,1,2,4,3,1,3,3,3,3,2,1,3,1,1,1
0,1,2,3,4,1,2,2,4,4,1,3,4,3,3,2,1,2,1,2,1
0,4,5,3,10,3,5,3,4,1,1,2,1,3,1,2,1,3,1,1,1
0,1,5,3,10,3,1,2,3,2,1,4,2,1,3,1,1,3,1,1,1
0,2,2,3,4,1,1,2,1,4,1,1,1,1,3,1,1,3,1,1,1
0,4,3,5,1,3,1,4,2,3,1,2,2,3,1,2,2,3,1,1,1
0,1,4,5,7,3,1,3,4,3,1,3,4,2,1,2,1,3,1,2,1
0,3,2,5,4,1,5,3,3,3,1,4,4,3,3,3,2,3,1,2,1
0,2,2,3,1,1,1,2,3,2,1,1,3,1,3,1,1,3,1,1,1
0,2,4,3,2,4,1,2,1,4,1,4,3,2,3,1,1,4,1,2,1
0,2,2,3,3,1,2,2,4,2,1,4,3,2,1,1,4,3,1,1,1
0,2,4,3,1,1,1,2,3,2,1,4,3,1,3,2,1,2,1,2,1
0,1,5,3,5,3,1,3,3,3,1,4,3,5,3,2,1,3,1,1,1
0,4,4,5,1,4,1,3,4,2,1,2,1,1,2,2,2,3,1,2,1
0,4,3,3,4,1,1,1,3,2,2,4,1,1,3,1,1,3,1,1,1
0,4,4,4,10,4,1,2,1,1,1,1,3,2,3,2,2,3,1,1,1
0,2,4,2,7,1,1,4,4,2,1,4,4,3,1,3,1,2,1,1,1
0,2,4,5,1,3,1,1,4,4,1,2,3,2,3,2,2,4,1,1,1
0,2,4,5,1,3,1,1,4,4,1,2,3,2,3,2,2,4,1,1,1
0,1,5,3,4,3,1,3,3,2,1,2,3,3,3,2,1,3,1,2,1
0,1,1,3,4,1,1,2,3,2,1,4,2,1,3,1,1,3,1,1,1
0,1,4,2,11,1,5,5,4,3,1,3,3,3,2,2,1,4,1,2,1
0,1,3,3,3,2,1,1,4,3,1,1,3,1,3,2,1,1,1,1,1
0,3,1,1,4,1,1,2,4,3,1,2,3,3,3,2,2,4,1,2,1
0,1,5,3,1,4,1,5,4,3,1,4,4,4,1,3,1,4,1,1,1
0,2,2,2,1,1,2,3,2,4,1,2,2,1,3,1,1,3,1,1,1
0,2,2,3,1,2,2,3,2,2,1,4,3,2,3,1,2,3,1,2,1
0,2,5,3,1,3,2,4,3,3,1,2,2,1,3,2,1,3,1,1,1
0,1,4,3,1,3,1,2,4,2,1,1,2,2,3,2,1,3,1,1,1
0,1,4,5,7,4,1,3,3,2,1,2,4,1,3,2,2,4,1,2,1
0,1,4,3,4,2,1,2,4,2,1,4,1,3,3,2,1,3,1,2,1
0,2,4,3,3,4,2,2,4,3,2,1,4,2,3,1,1,4,1,2,1
0,2,5,3,1,4,1,4,4,3,1,2,4,2,3,2,1,4,1,2,1
0,1,4,5,2,4,1,4,4,3,1,4,3,1,3,2,2,3,1,2,1
0,2,2,3,4,1,5,3,2,4,1,1,1,1,3,2,1,3,1,2,1
0,1,3,3,3,1,1,1,4,2,1,2,3,3,3,2,1,3,1,1,1
0,2,4,4,3,2,1,1,3,2,1,2,2,3,3,2,1,4,1,2,1
0,2,3,3,2,4,1,1,3,2,1,4,4,3,3,3,1,4,1,2,1
0,4,4,4,10,2,3,2,4,3,1,2,1,4,1,2,1,2,2,1,1
0,4,4,3,1,2,1,3,3,2,1,3,1,1,3,1,1,3,1,1,1
0,2,4,3,10,3,1,3,4,3,1,2,3,3,3,2,1,3,2,2,1
0,4,1,3,1,1,5,3,4,3,3,4,2,2,3,2,1,2,1,1,1
0,1,4,3,1,3,1,4,2,3,2,3,2,3,3,2,1,3,1,2,1
0,1,2,3,1,2,1,2,4,3,1,1,1,3,3,2,1,2,2,1,1
0,2,4,4,1,2,1,5,4,3,1,4,4,5,1,3,2,3,1,2,1
0,1,3,3,3,3,1,3,2,3,2,3,3,4,3,2,1,3,1,1,1
0,1,3,1,3,3,1,2,1,2,1,4,2,2,3,1,1,3,1,1,1
0,1,3,5,3,2,1,3,4,2,1,4,1,1,3,1,2,3,1,1,1
0,1,3,2,3,1,1,3,4,3,1,3,3,4,1,2,1,3,1,1,1
0,1,4,3,3,2,1,4,4,2,1,4,1,1,3,1,1,3,1,1,1
0,1,4,4,1,1,1,1,4,3,1,2,1,4,3,3,2,3,2,1,1
0,1,5,1,3,3,1,3,3,3,1,4,4,5,3,3,2,3,2,1,1
0,1,4,4,1,3,1,3,3,3,1,4,4,5,3,3,2,3,2,1,1
0,1,2,5,1,1,1,5,4,3,1,3,2,3,3,2,2,3,1,1,1
0,1,5,4,4,3,1,4,3,3,1,2,2,2,1,2,2,3,2,2,1
0,1,4,2,3,3,1,5,4,3,1,4,3,3,1,2,1,3,1,1,1
0,1,4,1,3,3,1,5,3,3,1,4,4,1,1,1,2,3,2,1,1
0,1,3,3,3,2,1,3,2,3,1,2,3,1,3,2,1,3,1,1,1
0,1,2,3,3,1,1,3,2,2,1,4,3,1,3,1,1,3,1,1,1
0,2,2,1,3,3,1,2,4,2,1,3,2,1,3,1,2,3,1,1,1
0,1,5,1,2,3,1,5,3,3,1,4,4,1,3,3,2,3,2,1,1
0,1,5,5,2,3,1,5,4,3,1,4,4,4,3,3,2,3,1,2,1
0,1,4,2,3,3,1,4,3,3,1,4,3,2,1,2,1,3,1,1,1
0,1,2,2,1,1,1,2,4,3,1,2,3,4,1,2,2,3,1,2,1
0,1,4,3,1,1,1,4,4,2,1,4,3,1,3,1,2,3,1,1,1
0,1,4,1,10,3,1,1,2,3,1,4,2,4,3,2,2,3,1,2,1
0,1,4,4,7,3,1,2,2,3,1,1,2,2,2,2,2,3,1,1,1
0,1,3,3,3,2,1,3,1,2,1,4,1,1,3,1,1,3,1,1,1
0,1,4,2,10,3,1,3,4,3,1,2,2,3,1,1,1,3,1,2,1
0,1,2,3,9,1,1,4,4,4,1,4,2,1,3,1,1,3,1,1,1
0,1,5,3,2,4,1,4,4,3,1,4,4,3,3,3,3,3,2,2,1
0,2,5,1,10,4,1,3,2,3,1,2,3,1,2,2,1,3,1,2,1
0,2,3,5,1,1,1,5,3,3,3,3,1,2,3,2,2,3,1,1,1
0,1,2,3,1,1,1,2,3,2,1,1,1,3,1,2,1,2,1,1,1
0,2,2,3,1,1,1,5,1,1,1,1,1,4,3,1,2,3,1,1,1
0,1,2,3,1,1,1,4,2,1,1,3,3,3,3,2,1,3,1,1,1
0,1,3,5,1,2,1,5,2,3,3,4,2,4,3,1,1,3,1,2,2
0,1,3,5,1,2,1,3,4,4,3,2,2,3,1,1,2,3,1,1,2
0,2,1,3,3,1,1,3,1,2,1,2,3,2,1,2,1,3,1,1,1
0,2,3,5,1,1,1,5,4,3,1,4,3,3,3,2,1,3,2,2,1
0,2,4,3,1,1,1,2,4,3,1,2,1,1,1,2,1,2,1,1,1
0,2,4,4,1,4,2,5,2,3,1,4,3,4,2,2,4,4,1,2,1
0,4,5,5,1,4,3,3,2,3,1,2,4,4,3,3,1,3,1,1,1
0,2,2,3,1,1,1,5,4,3,1,4,3,4,1,2,1,2,2,1,1
0,4,2,3,7,1,1,5,4,3,1,4,3,4,1,2,1,2,2,1,1
0,2,4,3,1,4,5,3,1,3,1,4,4,3,1,3,1,3,1,2,1
0,1,2,3,4,1,1,5,4,3,1,4,1,5,3,2,1,2,1,1,1
0,2,2,2,1,3,2,1,1,3,1,2,2,3,2,2,1,4,2,2,1
0,4,1,3,3,2,1,3,2,3,1,2,1,1,3,1,1,2,1,1,1
0,4,4,2,2,3,5,1,4,2,1,1,1,5,1,2,1,4,1,2,1
0,1,3,2,1,1,1,4,4,3,1,4,4,3,1,3,2,2,2,1,1
0,4,2,5,4,1,5,5,4,2,1,3,2,3,3,2,1,2,2,1,1
0,2,5,5,4,3,1,2,4,3,1,2,2,1,1,2,2,2,1,1,1
0,3,2,5,1,1,3,4,4,4,1,2,1,2,3,2,3,3,1,2,1
0,2,4,3,10,1,1,5,2,2,1,4,2,3,3,2,1,3,2,1,1
0,4,5,5,2,4,2,3,2,2,1,4,3,1,3,1,2,2,1,1,1
0,3,2,2,10,1,1,2,4,2,1,1,1,2,1,2,1,1,1,1,1
0,1,3,5,6,1,1,1,2,2,1,4,4,5,3,3,3,1,2,1,1
0,2,4,3,10,3,2,5,4,1,1,2,3,5,3,1,2,2,1,1,1
0,2,4,3,3,3,2,3,2,2,2,4,3,1,1,1,1,3,1,1,1
0,2,4,1,10,3,2,3,4,2,1,4,3,2,3,1,2,2,1,1,1
0,2,4,3,4,3,2,2,3,4,1,2,3,1,3,1,1,3,1,2,1
0,4,3,3,1,3,5,3,2,3,1,4,3,5,2,1,2,3,1,1,1
0,2,2,3,4,1,1,2,2,3,1,1,3,1,3,2,1,3,1,1,1
0,2,5,1,10,4,1,2,3,3,1,4,4,5,3,1,1,3,1,2,1
0,1,4,3,3,3,1,2,4,2,1,4,1,1,3,1,1,2,1,2,1
0,2,2,3,4,1,1,5,4,3,1,3,3,3,3,2,1,3,2,1,1
0,2,5,3,3,4,1,2,1,2,1,2,3,2,1,2,1,3,1,2,1
0,4,4,4,10,4,1,2,2,3,1,2,3,2,1,2,2,3,1,2,1
0,1,3,3,4,1,1,3,4,4,1,3,1,2,3,2,1,3,1,1,1
0,1,5,3,4,1,1,3,4,3,1,4,4,1,3,3,1,3,1,2,1
0,1,4,2,1,1,5,3,4,3,1,2,2,3,1,2,2,2,2,1,1
0,4,5,3,10,3,1,1,3,3,1,2,3,3,3,1,1,4,1,2,1
0,2,4,1,10,4,1,5,2,2,1,4,4,4,2,3,2,4,1,2,1
0,3,3,3,4,2,1,3,4,3,2,2,1,3,3,2,1,3,1,1,1
0,1,5,1,10,4,1,5,2,3,1,4,3,2,3,1,2,3,1,1,1
0,1,1,3,7,1,1,2,4,2,1,4,2,1,3,2,1,3,1,1,1
0,1,4,3,6,4,1,2,1,1,1,1,4,3,1,2,1,2,1,2,1
0,2,5,1,11,4,1,3,1,2,1,2,2,3,1,2,1,4,1,2,2
0,1,1,3,1,4,1,5,1,3,1,4,4,5,1,2,1,4,1,2,1
0,2,2,3,3,3,5,5,1,2,1,2,2,1,3,2,1,3,1,2,1
0,1,2,3,2,3,1,5,3,3,1,4,4,3,3,3,1,3,1,2,1
0,2,4,3,4,2,1,2,1,4,1,1,2,1,3,2,1,3,1,2,1
0,4,3,4,10,2,1,3,4,4,1,2,3,2,3,2,1,3,1,2,1
0,2,5,5,3,3,1,3,2,2,1,3,3,2,3,2,1,4,1,2,1
0,1,3,3,4,1,1,3,4,2,1,4,3,1,1,1,2,3,1,1,1
0,1,5,3,4,3,1,4,1,4,3,1,1,3,3,2,2,3,1,2,1
0,4,2,5,10,2,1,1,4,3,1,2,3,4,2,2,2,4,1,2,1
0,1,2,3,1,4,1,5,1,1,1,4,2,4,3,2,1,4,1,2,2
0,1,2,3,4,1,2,4,4,4,1,1,2,1,3,2,1,3,1,1,1
0,1,3,3,1,1,1,2,1,2,1,2,3,1,3,2,1,2,1,1,1
0,2,4,3,1,3,1,3,3,2,1,4,2,1,3,1,1,2,1,2,1
0,1,3,3,7,1,1,1,4,2,1,1,1,2,3,2,1,1,1,1,1
0,2,4,3,2,4,1,5,4,2,1,2,4,4,3,3,1,4,1,2,1
0,1,3,3,2,4,5,5,1,3,1,4,2,5,3,3,1,3,2,2,1
0,1,3,5,1,3,1,5,1,2,1,4,1,3,1,1,3,3,1,2,1
0,1,2,1,4,3,1,3,4,3,1,2,2,2,3,1,2,3,1,2,1
0,1,4,3,4,1,1,3,2,3,1,4,1,1,3,1,1,2,2,1,1
0,1,4,3,1,2,1,5,4,3,2,1,1,4,3,2,1,3,1,1,1
0,4,4,5,1,4,5,5,4,3,1,4,4,2,3,3,1,4,1,2,1
0,2,2,3,4,3,5,1,2,3,1,1,4,5,3,2,1,4,1,2,1
0,1,4,3,3,3,5,5,4,3,1,4,2,3,3,2,1,3,1,1,1
